year,country,who_region,v4,gdp,population,cumulative_cases_2022,cumulative_deaths_2022,log_cum_case,log_population,log_gdp,log_cum_deaths,median_age,_merge,infection_rate
2022,Slovakia,EURO,European Region,105.296,5431235,1858531,20797,14.435297,15.507677,4.6567755,9.942564,39.823,matched (3),0.342193074
2022,Puerto Rico,AMRO,Region of the Americas,104.915,3285874,1042874,5499,13.857491,15.005143,4.6531506,8.6123219,43.169,matched (3),0.317381007
2022,Kenya,AFRO,African Region,100.328,47564296,342336,5688,12.743548,17.677593,4.6084447,8.6461143,18.702,matched (3),0.007197331
2022,Ethiopia,AFRO,African Region,92.608002,105163988,495348,7572,13.113016,18.471031,4.5283756,8.9322128,18.072,matched (3),0.004710244
2022,Dominican Republic,AMRO,Region of the Americas,89.031998,10535535,655540,4384,13.393214,16.170265,4.488996,8.3857164,26.486,matched (3),0.062221805
2022,Sri Lanka,SEARO,South-East Asian Region,89.014999,22156000,671838,16814,13.417772,16.913618,4.4888048,9.7299671,31.952,matched (3),0.030323073
2022,Oman,EMRO,Eastern Mediterranean Region,88.060997,4527446,399154,4628,12.897102,15.325668,4.4780297,8.4398804,28.838,matched (3),0.088163172
2022,Angola,AFRO,African Region,84.515999,33086278,104973,1928,11.561459,17.314629,4.4369407,7.5642385,16.115,matched (3),0.003172705
2022,Guatemala,AMRO,Region of the Americas,77.153999,17109746,1190610,19987,13.989976,16.655159,4.3458033,9.9028378,21.375,matched (3),0.069586655
2022,Venezuela (Bolivarian Republic of),AMRO,Region of the Americas,74.417999,28302000,549548,5830,13.216851,17.158443,4.3096976,8.6707726,27.47,matched (3),0.019417285
2022,Luxembourg,EURO,European Region,70.203003,645397,311746,1178,12.649944,13.377621,4.2513909,7.0715733,38.481,matched (3),0.483029825
2022,Libya,EMRO,Eastern Mediterranean Region,69.240997,6812000,507121,6437,13.136505,15.734197,4.2375932,8.7698183,25.842,matched (3),0.074445244
2022,Bulgaria,EURO,European Region,68.918999,6520314,1290967,38089,14.070902,15.690434,4.2329321,10.547681,43.919,matched (3),0.197991538
2022,Myanmar,SEARO,South-East Asian Region,68.802002,55294979,633590,19489,13.359158,17.828192,4.2312326,9.8776054,28.47,matched (3),0.011458364
2022,Ghana,AFRO,African Region,68.352997,30832019,171038,1461,12.049641,17.244064,4.2246857,7.2868762,20.103,matched (3),0.005547415
2022,Panama,AMRO,Region of the Americas,66.984001,4278500,1020961,8554,13.836255,15.269113,4.2044539,9.0541544,28.298,matched (3),0.23862592
2022,Belarus,EURO,European Region,64.414001,9255524,994037,7118,13.809529,16.040731,4.1653309,8.8703823,39.709,matched (3),0.107399322
2022,Costa Rica,AMRO,Region of the Americas,64.412003,5163038,1161687,9072,13.965384,15.457036,4.1652999,9.1129484,31.951,matched (3),0.225000668
2022,Croatia,EURO,European Region,62.245998,3871833,1260837,17492,14.047286,15.169239,4.1310945,9.7694988,43.262,matched (3),0.325643436
2022,Uruguay,AMRO,Region of the Americas,61.016998,3554915,1002988,7552,13.818494,15.083841,4.1111526,8.9295673,34.735,matched (3),0.282141205
2022,Uzbekistan,EURO,European Region,59.907001,35970275,249217,1637,12.42608,17.398203,4.0927935,7.4006205,26.199,matched (3),0.006928415
2022,Lithuania,EURO,European Region,54.702999,2839020,1285267,9466,14.066477,14.85897,4.0019183,9.1554613,43.29,matched (3),0.452715021
2022,Slovenia,EURO,European Region,54.338001,2108977,1297794,8708,14.076177,14.561713,3.9952238,9.0719976,42.641,matched (3),0.615366597
2022,Serbia,EURO,European Region,51.514,6690887,2438130,17480,14.706742,15.716257,3.9418535,9.7688122,42.539,matched (3),0.364395632
2022,Lebanon,EMRO,Eastern Mediterranean Region,50.880001,5490000,1221791,10743,14.015828,15.518438,3.9294698,9.2820101,28.153,matched (3),0.222548452
2022,DR Congo,AFRO,African Region,50.398998,99010000,94969,1461,11.461306,18.410732,3.9199712,7.2868762,,master only (1),0.000959186
2022,Azerbaijan,EURO,European Region,48.174,10204774,825737,10002,13.624032,16.138367,3.8748195,9.2105408,30.565,matched (3),0.080916736
2022,Jordan,EMRO,Eastern Mediterranean Region,44.566002,11376292,1746997,14122,14.373409,16.247042,3.7969713,9.5554895,22.742,matched (3),0.153564712
2022,Tunisia,EMRO,Eastern Mediterranean Region,41.771999,11803588,1147477,29279,13.953076,16.283915,3.7322264,10.284626,31.078,matched (3),0.097214254
2022,Bolivia (Plurinational State of),AMRO,Region of the Americas,41.193001,12006031,1140832,22277,13.947268,16.30092,3.7182684,10.01131,23.51,matched (3),0.095021577
2022,Cameroon,AFRO,African Region,39.673,24348251,123993,1965,11.727981,17.007971,3.6806707,7.5832477,17.326,matched (3),0.005092481
2022,Bahrain,EMRO,Eastern Mediterranean Region,38.653,1501635,696614,1536,13.453987,14.222065,3.6546245,7.336937,31.161,matched (3),0.463903678
2022,Uganda,AFRO,African Region,38.058998,42885900,169715,3630,12.041876,17.574053,3.6391375,8.1969881,15.502,matched (3),0.003957361
2022,Paraguay,AMRO,Region of the Americas,37.907001,7353038,720204,19655,13.487289,15.810624,3.6351359,9.8860874,25.031,matched (3),0.097946454
2022,Latvia,EURO,European Region,34.313,1895400,972561,6143,13.787688,14.454941,3.5355244,8.7230682,43.15,matched (3),0.513116493
2022,Nepal,SEARO,South-East Asian Region,34.186001,29192480,1000962,12019,13.816472,17.189423,3.5318162,9.3942442,22.85,matched (3),0.034288351
2022,Sudan,EMRO,Eastern Mediterranean Region,33.563999,45038680,63686,4994,11.06172,17.623032,3.513454,8.5159922,18.215,matched (3),0.001414029
2022,Estonia,EURO,European Region,31.084999,1331796,611291,2837,13.323328,14.102039,3.4367254,7.9505024,41.215,matched (3),0.458997474
2022,Cambodia,WPRO,Western Pacific Region,27.087,15552211,138467,3056,11.838387,16.559713,3.2990539,8.0248623,25.797,matched (3),0.008903364
2022,El Salvador,AMRO,Region of the Americas,26.881001,6825935,201785,4230,12.214958,15.736239,3.2914197,8.3499575,25.474,matched (3),0.029561518
2022,Cyprus,EURO,European Region,25.761999,918100,628509,1255,13.351106,13.730062,3.2489007,7.134891,36.637,matched (3),0.684575754
2022,Honduras,AMRO,Region of the Americas,25.091,9546178,463685,11063,13.046961,16.071651,3.2225091,9.3113613,22.724,matched (3),0.048572842
2022,Iceland,EURO,European Region,24.826,385230,207974,229,12.245169,12.861596,3.2118914,5.433722,35.486,matched (3),0.539869688
2022,Papua New Guinea,WPRO,Western Pacific Region,24.750999,9122994,46663,669,10.750707,16.026308,3.2088659,6.505784,21.348,matched (3),0.005114878
2022,Trinidad and Tobago,AMRO,Region of the Americas,23.886,1367558,185882,4277,12.132868,14.128537,3.1732924,8.3610067,34.429,matched (3),0.135922571
2022,Senegal,AFRO,African Region,23.405001,17223497,88896,1968,11.395223,16.661785,3.1529496,7.5847731,17.532,matched (3),0.005161321
2022,Zambia,AFRO,African Region,23.309,19610769,333746,4019,12.718136,16.79159,3.1488395,8.2987881,16.594,matched (3),0.017018507
2022,Zimbabwe,AFRO,African Region,22.995001,15178979,259981,5637,12.468364,16.535421,3.1352768,8.6371069,17.666,matched (3),0.0171277
