Year,Country,WHO_region,New_cases,Cumulative_cases,New_deaths,Cumulative_deaths
2020,Tonga,WPRO,0,0,0,0
2020,Trinidad and Tobago,AMRO,5,7132,1,126
2020,Tunisia,EMRO,2414,137216,50,4620
2020,Türkiye,EURO,15692,2194272,254,20642
2020,Turkmenistan,EURO,0,0,0,0
2020,Turks and Caicos Islands,AMRO,0,865,0,6
2020,Tuvalu,WPRO,0,0,0,0
2020,Uganda,AFRO,539,35220,1,304
2020,Ukraine,EURO,9699,1055047,209,18533
2020,United Arab Emirates,EMRO,1723,206092,3,665
2020,United Republic of Tanzania,AFRO,0,509,0,21
2020,United States of America,AMRO,208904,19577585,3351,352004
2020,United States Virgin Islands,AMRO,6,2010,0,23
2020,Uruguay,AMRO,656,17962,8,168
2020,Uzbekistan,EURO,75,77060,0,614
2020,Vanuatu,WPRO,0,1,0,0
2020,Venezuela (Bolivarian Republic of),AMRO,225,112861,3,1021
2020,Viet Nam,WPRO,2,1456,0,35
2020,Wallis and Futuna,WPRO,0,4,0,0
2020,Yemen,EMRO,1,2101,0,611
2020,Zambia,AFRO,285,20462,1,386
2020,Zimbabwe,AFRO,300,13625,1,360
2021,Afghanistan,EMRO,20,158059,0,7356
2021,Albania,EURO,617,209516,3,3215
2021,Algeria,AFRO,390,218037,8,6271
2021,American Samoa,WPRO,0,11,0,0
2021,Andorra,EURO,299,23122,0,140
2021,Angola,AFRO,0,76787,0,1757
2021,Anguilla,AMRO,0,1674,0,5
2021,Antigua and Barbuda,AMRO,0,4295,0,119
2021,Argentina,AMRO,35664,5780522,49,118176
2021,Armenia,EURO,104,344930,4,7972
2021,Aruba,AMRO,671,19021,0,181
2021,Australia,WPRO,21222,362558,16,2226
2021,Austria,EURO,3167,1264535,17,16684
2021,Azerbaijan,EURO,510,616352,14,8346
2021,Bahamas,AMRO,207,24476,1,717
2021,Bahrain,EMRO,530,281406,0,1394
2021,Bangladesh,SEARO,512,1585539,2,28072
2021,Barbados,AMRO,247,28310,0,260
2021,Belarus,EURO,1380,697600,18,5561
2021,Belgium,EURO,15046,2097549,34,28356
2021,Belize,AMRO,333,32067,0,597
2021,Benin,AFRO,0,25044,0,161
2021,Bermuda,AMRO,267,6331,0,106
2021,Bhutan,SEARO,0,2660,0,3
2021,Bolivia (Plurinational State of),AMRO,6149,591773,28,19650
2021,Bonaire,AMRO,32,3294,0,23
2021,Bosnia and Herzegovina,EURO,795,290471,31,13428
2021,Botswana,AFRO,2544,222053,8,2452
2021,Brazil,AMRO,9128,22263834,112,618817
2021,British Virgin Islands,AMRO,36,3256,0,39
2021,Brunei Darussalam,WPRO,5,15470,0,61
2021,Bulgaria,EURO,3616,744298,71,30890
2021,Burkina Faso,AFRO,0,17632,0,318
2021,Burundi,AFRO,643,30550,0,14
2021,Cabo Verde,AFRO,791,40738,0,352
2021,Cambodia,WPRO,14,120487,1,3012
2021,Cameroon,AFRO,0,109666,0,1853
2021,Canada,AMRO,32120,2102470,33,29958
2021,Cayman Islands,AMRO,432,8818,0,11
2021,Central African Republic,AFRO,63,12454,0,101
2021,Chad,AFRO,0,5701,0,181
2021,Chile,AMRO,1791,1804682,33,39096
2021,China,WPRO,232,131780,0,5699
2021,Colombia,AMRO,6326,5138603,33,129866
2021,Comoros,AFRO,231,6515,1,157
2021,Congo,AFRO,792,21277,1,369
2021,Cook Islands,WPRO,0,0,0,0
2021,Costa Rica,AMRO,404,570960,1,7354
2021,Côte d’Ivoire,AFRO,1578,68146,4,712
2021,Croatia,EURO,5958,709678,27,12493
2021,Cuba,AMRO,328,965571,1,8322
2021,Curaçao,AMRO,554,20199,1,187
2021,Cyprus,EURO,3851,161779,1,646
2021,Czechia,EURO,5983,2517308,59,36333
2021,Democratic People's Republic of Korea,SEARO,0,0,0,0
2021,Democratic Republic of the Congo,AFRO,962,79273,0,1225
2021,Denmark,EURO,21403,783702,9,3256
2021,Djibouti,EMRO,13,13632,0,189
2021,Dominica,AMRO,94,6814,0,47
2021,Dominican Republic,AMRO,998,417268,0,4246
2021,Ecuador,AMRO,1697,545800,13,33669
2021,Egypt,EMRO,871,384728,32,21727
2021,El Salvador,AMRO,0,121741,2,3823
2021,Equatorial Guinea,AFRO,0,13710,0,175
2021,Eritrea,AFRO,34,7982,1,75
2021,Estonia,EURO,1071,241801,4,1932
2021,Eswatini,AFRO,359,65832,3,1299
2021,Ethiopia,AFRO,4998,415443,10,6926
