Year,Country,WHO_region,Population,Cumulative_cases_2022,Cumulative_deaths_2022,US_option
2022,Cook Islands,WPRO,15040,6607,1,Excluding the US
2022,Saint Kitts and Nevis,AMRO,48000,6560,46,Excluding the US
2022,Turks and Caicos Islands,AMRO,44542,6479,36,Excluding the US
2022,Sao Tome and Principe,AFRO,,6279,77,Excluding the US
2022,Palau,WPRO,16733,5955,9,Excluding the US
2022,Saint Barthélemy,AMRO,10289,5382,5,Excluding the US
2022,Nauru,WPRO,11832,4621,1,Excluding the US
2022,Anguilla,AMRO,15701,3904,12,Excluding the US
2022,Kiribati,WPRO,120740,3430,13,Excluding the US
2022,Wallis and Futuna,WPRO,11369,3415,7,Excluding the US
2022,Saint Pierre and Miquelon,AMRO,5974,3316,2,Excluding the US
2022,Tuvalu,WPRO,10679,2779,0,Excluding the US
2022,"Saint Helena, Ascension and Tristan da Cunha",AFRO,5651,2166,0,Excluding the US
2022,Falkland Islands (Malvinas),AMRO,3800,1923,0,Excluding the US
2022,Montserrat,AMRO,4400,1403,8,Excluding the US
2022,Sint Eustatius,AMRO,,1212,5,Excluding the US
2022,Saba,AMRO,214610,737,2,Excluding the US
2022,Niue,WPRO,1549,335,0,Excluding the US
2022,Holy See,EURO,,26,0,Excluding the US
2022,Tokelau,WPRO,1647,5,0,Excluding the US
2022,Pitcairn Islands,WPRO,47,4,0,Excluding the US
2022,North Korea,SEARO,25660000,0,0,Excluding the US
2022,Turkmenistan,EURO,6431000,0,0,Excluding the US
